"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.175152283E2,6.868055667E1,2.766168833E1,1.306231454E2,6.027397513E-1,2.618699951E2,1.600000024E0,1.180000019E1
1.185152283E2,6.868055500E1,2.766167000E1,1.307231254E2,5.903863907E-1,2.517700043E2,1.600000024E0,1.269999981E1
1.195152283E2,6.868055000E1,2.766165833E1,1.308231195E2,5.878127813E-1,2.542200012E2,1.600000024E0,1.250000000E1
1.205152283E2,6.868054667E1,2.766164333E1,1.309231065E2,5.970777869E-1,2.540399933E2,1.700000048E0,1.280000019E1
1.215152283E2,6.868054167E1,2.766162000E1,1.310230860E2,6.192108393E-1,2.514299927E2,1.700000048E0,1.330000019E1
1.225152283E2,6.868053833E1,2.766159833E1,1.311230647E2,6.449469328E-1,2.545299988E2,1.700000048E0,1.310000038E1
1.235152283E2,6.868053333E1,2.766158167E1,1.312230525E2,6.536971927E-1,2.421900024E2,1.799999952E0,1.339999962E1
1.245152283E2,6.868053000E1,2.766155500E1,1.312230250E2,6.928161383E-1,2.509100037E2,1.700000048E0,1.230000019E1
1.255152283E2,6.868052667E1,2.766152667E1,1.312229954E2,7.689949870E-1,2.676000061E2,1.700000048E0,1.169999981E1
1.265152283E2,6.868052500E1,2.766149833E1,1.313229629E2,8.065696955E-1,2.660799866E2,1.700000048E0,1.180000019E1
1.275152283E2,6.868052667E1,2.766147833E1,1.313229350E2,8.261291385E-1,2.644400024E2,1.700000048E0,1.139999962E1
1.285152283E2,6.868052500E1,2.766145833E1,1.315229130E2,8.317911029E-1,2.821499939E2,1.700000048E0,1.200000000E1
1.295152283E2,6.868052500E1,2.766143333E1,1.315228818E2,8.338500261E-1,2.722799988E2,1.700000048E0,1.210000038E1
1.305152283E2,6.868052500E1,2.766141000E1,1.316228526E2,8.441444635E-1,2.527299957E2,1.700000048E0,1.219999981E1
1.315152283E2,6.868052667E1,2.766138000E1,1.318228123E2,8.539241552E-1,2.616600037E2,1.700000048E0,1.180000019E1
1.325152283E2,6.868053000E1,2.766135667E1,1.318227774E2,8.652480841E-1,2.700299988E2,1.700000048E0,1.219999981E1
1.335152283E2,6.868053000E1,2.766132833E1,1.317227421E2,8.848075271E-1,2.737900085E2,1.700000048E0,1.219999981E1
1.345152283E2,6.868053333E1,2.766130000E1,1.313227010E2,8.853222132E-1,2.795199890E2,1.600000024E0,1.210000038E1
1.355152283E2,6.868053833E1,2.766126500E1,1.312226486E2,8.724541664E-1,2.892900085E2,1.600000024E0,1.130000019E1
1.365152283E2,6.868054000E1,2.766123833E1,1.311226125E2,8.734835982E-1,2.877900085E2,1.600000024E0,1.119999981E1
1.375152283E2,6.868054167E1,2.766120833E1,1.311225722E2,8.899547458E-1,2.826300049E2,1.600000024E0,1.189999962E1
1.385152283E2,6.868054500E1,2.766118000E1,1.311225310E2,8.997344375E-1,2.658299866E2,1.600000024E0,1.160000038E1
1.395152283E2,6.868054833E1,2.766115500E1,1.310224941E2,9.033374786E-1,2.760299988E2,1.600000024E0,1.180000019E1
1.405152283E2,6.868055000E1,2.766114500E1,1.309224787E2,8.776013851E-1,2.844299927E2,1.600000024E0,1.180000019E1
1.415152283E2,6.868055000E1,2.766113167E1,1.308224621E2,8.395119309E-1,2.754800110E2,1.600000024E0,1.200000000E1
1.425152283E2,6.868055167E1,2.766112167E1,1.306224467E2,7.983341813E-1,2.758999939E2,1.600000024E0,1.230000019E1
1.435152283E2,6.868055167E1,2.766110833E1,1.304224301E2,7.509797215E-1,2.683200073E2,1.600000024E0,1.180000019E1
1.445152283E2,6.868055167E1,2.766109333E1,1.303224114E2,7.087724805E-1,2.561400146E2,1.600000024E0,1.219999981E1
1.455152283E2,6.868055000E1,2.766107833E1,1.302223955E2,6.655358076E-1,2.643900146E2,1.600000024E0,1.239999962E1
1.465152283E2,6.868054833E1,2.766106167E1,1.300223776E2,6.331083179E-1,2.660599976E2,1.600000024E0,1.239999962E1
1.475152283E2,6.868055000E1,2.766104833E1,1.298223581E2,5.970777869E-1,2.781199951E2,1.600000024E0,1.189999962E1
1.485152283E2,6.868055000E1,2.766103167E1,1.297223373E2,5.682533383E-1,2.819100037E2,1.600000024E0,1.180000019E1
1.495152283E2,6.868055000E1,2.766101833E1,1.296223206E2,5.430319309E-1,2.635899963E2,1.600000024E0,1.110000038E1
1.505152283E2,6.868055000E1,2.766100333E1,1.294223019E2,5.435466766E-1,2.791400146E2,1.500000000E0,1.039999962E1
1.515152283E2,6.868055167E1,2.766097833E1,1.294222678E2,5.692827702E-1,2.810000000E2,1.500000000E0,1.030000019E1
1.525152283E2,6.868055833E1,2.766095000E1,1.294222210E2,6.320788860E-1,3.019899902E2,1.500000000E0,1.030000019E1
1.535152283E2,6.868057000E1,2.766092667E1,1.294221717E2,7.144344449E-1,3.371000061E2,1.600000024E0,1.000000000E1
1.545152283E2,6.868058333E1,2.766091833E1,1.293221383E2,7.756863832E-1,6.460000038E0,1.600000024E0,1.039999962E1
1.555152283E2,6.868059500E1,2.766091333E1,1.294221119E2,8.570125103E-1,3.451499939E2,1.600000024E0,1.060000038E1
1.565152283E2,6.868060500E1,2.766090500E1,1.295220843E2,8.673069477E-1,3.548699951E2,1.600000024E0,1.030000019E1
1.575152283E2,6.868061500E1,2.766090667E1,1.294220691E2,8.786308169E-1,7.349999905E0,1.600000024E0,1.030000019E1
1.585152283E2,6.868062333E1,2.766091333E1,1.292220631E2,8.925283551E-1,1.895000076E1,1.600000024E0,1.050000000E1
1.595152283E2,6.868063000E1,2.766091833E1,1.292220578E2,9.218674898E-1,1.989999962E1,1.600000024E0,1.089999962E1
1.605152283E2,6.868064000E1,2.766092667E1,1.290220509E2,9.599569440E-1,2.050000000E1,1.500000000E0,1.050000000E1
1.615152283E2,6.868064833E1,2.766093167E1,1.290220428E2,9.954727888E-1,1.527999973E1,1.600000024E0,1.019999981E1
1.625152283E2,6.868066000E1,2.766093667E1,1.290220289E2,9.841488600E-1,6.389999866E0,1.600000024E0,1.010000038E1
1.635152283E2,6.868067167E1,2.766094000E1,1.290220130E2,9.671630263E-1,8.649999619E0,1.600000024E0,1.039999962E1
1.645152283E2,6.868068333E1,2.766094833E1,1.291220032E2,9.831194282E-1,1.968000031E1,1.600000024E0,1.080000019E1
1.655152283E2,6.868069167E1,2.766096167E1,1.291220055E2,9.563539028E-1,2.396999931E1,1.600000024E0,1.019999981E1
1.665152283E2,6.868070000E1,2.766096333E1,1.289219932E2,9.434858561E-1,2.712000084E1,1.600000024E0,1.019999981E1
1.675152283E2,6.868070500E1,2.766097000E1,1.290219929E2,9.465741515E-1,1.252000046E1,1.600000024E0,1.019999981E1
1.685152283E2,6.868071000E1,2.766097333E1,1.292219884E2,9.476035833E-1,8.119999886E0,1.600000024E0,1.050000000E1
1.695152283E2,6.868071500E1,2.766098333E1,1.294219923E2,9.424563646E-1,1.706999969E1,1.600000024E0,1.089999962E1
1.705152283E2,6.868072000E1,2.766098833E1,1.294219899E2,9.316472411E-1,1.114000034E1,1.600000024E0,1.119999981E1
1.715152283E2,6.868072500E1,2.766099833E1,1.294219938E2,8.981902599E-1,2.312999916E1,1.600000024E0,1.110000038E1
1.725152283E2,6.868073000E1,2.766101000E1,1.296219997E2,8.703953028E-1,3.629000092E1,1.600000024E0,1.130000019E1
1.735152283E2,6.868073333E1,2.766102833E1,1.299220168E2,8.312764168E-1,4.336999893E1,1.600000024E0,1.089999962E1
1.745152283E2,6.868073333E1,2.766103833E1,1.302220293E2,7.617889047E-1,4.613000107E1,1.600000024E0,1.139999962E1
1.755152283E2,6.868073500E1,2.766104833E1,1.305220389E2,7.025958300E-1,4.975999832E1,1.600000024E0,1.130000019E1
1.765152283E2,6.868073500E1,2.766106333E1,1.308220576E2,6.933308244E-1,6.959999847E1,1.600000024E0,1.100000000E1
1.775152283E2,6.868073167E1,2.766107500E1,1.311220779E2,6.603885889E-1,9.051000214E1,1.600000024E0,1.150000000E1
1.785152283E2,6.868073167E1,2.766109500E1,1.314221029E2,6.295052767E-1,9.886000061E1,1.600000024E0,1.169999981E1
1.795152283E2,6.868073167E1,2.766111333E1,1.316221258E2,6.279610991E-1,1.006600037E2,1.600000024E0,1.260000038E1
1.805152283E2,6.868073000E1,2.766114000E1,1.318221619E2,6.217844486E-1,1.029300003E2,1.600000024E0,1.310000038E1
1.815152283E2,6.868072833E1,2.766116167E1,1.320221919E2,6.356819272E-1,1.062699966E2,1.600000024E0,1.360000038E1
1.825152283E2,6.868072500E1,2.766118333E1,1.322222247E2,6.650211215E-1,1.169300003E2,1.600000024E0,1.360000038E1
1.835152283E2,6.868072000E1,2.766120667E1,1.323222624E2,6.814922094E-1,1.208399963E2,1.600000024E0,1.410000038E1
1.845152283E2,6.868071833E1,2.766122833E1,1.325222923E2,6.825216413E-1,1.009400024E2,1.600000024E0,1.410000038E1
1.855152283E2,6.868072000E1,2.766125167E1,1.326223186E2,7.098019719E-1,9.793000031E1,1.600000024E0,1.300000000E1
1.865152283E2,6.868072000E1,2.766128500E1,1.328223602E2,7.489208579E-1,9.261000061E1,1.600000024E0,1.330000019E1
1.875152283E2,6.868071833E1,2.766132000E1,1.329224067E2,8.112022281E-1,9.694999695E1,1.600000024E0,1.389999962E1
1.885152283E2,6.868072000E1,2.766134667E1,1.331224371E2,8.688511252E-1,8.762999725E1,1.600000024E0,1.460000038E1
1.895152283E2,6.868072000E1,2.766138500E1,1.331224850E2,9.270147085E-1,9.398000336E1,1.600000024E0,1.530000019E1
1.905152283E2,6.868072000E1,2.766141667E1,1.332225245E2,9.481183290E-1,1.003199997E2,1.500000000E0,1.239999962E1
1.915152283E2,6.868072000E1,2.766144000E1,1.333225536E2,9.234116673E-1,8.829000092E1,1.600000024E0,1.219999981E1
